id,name,city,country,icao,tz,latitude,longitude
8532,William T. Piper Memorial Airport,Lock Haven,USA,KLHV,America/New_York,41.13560104,-77.42230225
8538,Zelienople Municipal Airport,Zelienople,USA,KPJC,America/New_York,40.80160141,-80.16069794
8542,Lorain County Regional Airport,Lorain-Elyria,USA,KLPR,America/New_York,41.34429932,-82.17759705
8544,Burke Lakefront Airport,Cleveland,USA,KBKL,America/New_York,41.51750183,-81.6832962
8545,Chautauqua County-Dunkirk Airport,Dunkirk,USA,KDKK,America/New_York,42.49330139,-79.27200317
8548,South Jersey Regional Airport,Mount Holly,USA,KVAY,America/New_York,39.94290161,-74.84570313
8550,Linden Airport,Linden,USA,KLDJ,America/New_York,40.61740112,-74.24459839
8553,Tri State Steuben County Airport,Angola,USA,KANQ,America/New_York,41.639702,-85.083504
8555,Warsaw Municipal Airport,Warsaw,USA,KASW,America/New_York,41.27470016,-85.84010315
8556,Van Wert County Airport,Van Wert,USA,KVNW,America/New_York,40.86470032,-84.60939789
8559,Brooks Field,Marshall,USA,KRMY,America/New_York,42.25120163,-84.95549774
8560,Genesee County Airport,Batavia,USA,KGVQ,America/New_York,43.03170013,-78.16760254
8565,Clearwater Air Park,Clearwater,USA,KCLW,America/New_York,27.97669983,-82.75869751
8593,Chicago Meigs Airport,Chicago,USA,KCGX,America/Chicago,41.85879898,-87.60790253
8601,Pickens County Airport,Jasper,USA,KJZP,America/New_York,34.45339966,-84.45739746
8604,Grand Strand Airport,North Myrtle Beach,USA,KCRE,America/New_York,33.81169891,-78.72389984
8606,Lansing Municipal Airport,Lansing,USA,KIGQ,America/Chicago,41.53490067,-87.52950287
8608,Ramona Airport,Ramona,USA,KRNM,America/Los_Angeles,33.03919983,-116.9150009
8624,Branch County Memorial Airport,Coldwater,USA,KOEB,America/New_York,41.9333992,-85.05259705
8625,Wilkes Barre Wyoming Valley Airport,Wilkes-Barre,USA,KWBW,America/New_York,41.29719925,-75.85119629
8626,Willoughby Lost Nation Municipal Airport,Willoughby,USA,KLNN,America/New_York,41.68399811,-81.38970184
8631,Capital City Airport,Frankfort,USA,KFFT,America/New_York,38.18249893,-84.90470123
8632,Auburn Lewiston Municipal Airport,Lewiston,USA,KLEW,America/New_York,44.04850006,-70.28350067
8639,Bloyer Field,Tomah,USA,KY72,America/Chicago,43.97499847,-90.48349762
8641,Marco Island Airport,Marco Island Airport,USA,KMKY,America/New_York,25.99500084,-81.67250061
8644,Drummond Island Airport,Drummond Island,USA,KDRM,America/New_York,46.00930023,-83.74389648
8646,Gladwin Zettel Memorial Airport,Gladwin,USA,KGDW,America/New_York,43.97060013,-84.47499847
8648,South Haven Area Regional Airport,South Haven,USA,KLWA,America/New_York,42.3512001,-86.25569916
8653,Marshfield Municipal Airport,Marshfield,USA,KMFI,America/Chicago,44.63690186,-90.18930054
8654,Alexander Field South Wood County Airport,Wisconsin Rapids,USA,KISW,America/Chicago,44.36029816,-89.83899689
8655,Clinton Municipal Airport,Clinton,USA,KCWI,America/Chicago,41.83110046,-90.32910156
8658,Beverly Municipal Airport,Beverly,USA,KBVY,America/New_York,42.58420181,-70.91649628
8664,Poplar Bluff Municipal Airport,Poplar Bluff,USA,KPOF,America/Chicago,36.77389908,-90.32489777
8665,Somerset Airport,Somerville,USA,KSMQ,America/New_York,40.62599945,-74.67019653
8666,Eastport Municipal Airport,Eastport,USA,KEPM,America/New_York,44.91009903,-67.01270294
8667,Keokuk Municipal Airport,Keokuk,USA,KEOK,America/Chicago,40.4598999,-91.42849731
8681,St Paul Downtown Holman Field,St. Paul,USA,KSTP,America/Chicago,44.93450165,-93.05999756
8693,Oconomowoc Airport,Oconomowoc,USA,0WI8,America/Chicago,43.13890076,-88.47229767
8706,Butler Co Regional Airport - Hogan Field,Hamilton,USA,KHAO,America/New_York,39.36380005,-84.52200317
8742,Fond du Lac County Airport,Fond du Lac,USA,KFLD,America/Chicago,43.77119827,-88.48840332
8743,Waupaca Municipal Airport,Waupaca,USA,KPCZ,America/Chicago,44.33330154,-89.01979828
8744,Stevens Point Municipal Airport,Stevens Point,USA,KSTE,America/Chicago,44.54520035,-89.53029633
8747,Luce County Airport,Newberry,USA,KERY,America/New_York,46.31119919,-85.45729828
8759,Galion Municipal Airport,Galion,USA,KGQQ,America/New_York,40.7533989,-82.72380066
